full_name,language
John Stuart AGNEW,6
Tim AKER,6
Lucy ANDERSON,6
Martina ANDERSON,6
Jonathan ARNOTT,6
Richard ASHWORTH,6
Janice ATKINSON,6
Amjad BASHIR,6
Gerard BATTEN,6
Catherine BEARDER,6
Louise BOURS,6
Philip BRADBOURN,6
Paul BRANNEN,6
David CAMPBELL BANNERMAN,6
James CARVER,6
David COBURN,6
Jane COLLINS,6
Richard CORBETT,6
Seb DANCE,6
William (The Earl of) DARTMOUTH,6
Nirj DEVA,6
Anneliese DODDS,6
Diane DODDS,6
Ian DUNCAN,6
Bill ETHERIDGE,6
Jill EVANS,6
Nigel FARAGE,6
Raymond FINCH,6
Vicky FORD,6
Jacqueline FOSTER,6
Ashley FOX,6
Nathan GILL,6
Neena GILL,6
Julie GIRLING,6
Theresa GRIFFIN,6
Daniel HANNAN,6
Roger HELMER,6
Mary HONEYBALL,6
Mike HOOKEM,6
Richard HOWITT,6
Ian HUDGHTON,6
Diane JAMES,6
Syed KAMALL,6
Sajjad KARIM,6
Afzal KHAN,6
Timothy KIRKHOPE,6
Jude KIRTON-DARLING,6
Jean LAMBERT,6
Andrew LEWER,6
Linda McAVAN,6
Emma McCLARKIN,6
Anthea McINTYRE,6
David MARTIN,6
Clare MOODY,6
Claude MORAES,6
James NICHOLSON,6
Paul NUTTALL,6
Patrick O'FLYNN,6
Margot PARKER,6
Julia REID,6
Molly SCOTT CATO,6
Jill SEYMOUR,6
Siôn SIMON,6
Alyn SMITH,6
Catherine STIHLER,6
Kay SWINBURNE,6
Charles TANNOCK,6
Keith TAYLOR,6
Geoffrey VAN ORDEN,6
Derek VAUGHAN,6
Julie WARD,6
Glenis WILLMOTT,6
Steven WOOLFE,6
Lars ADAKTUSSON,24
Max ANDERSSON,24
Malin BJÖRK,24
Bodil CEBALLOS,24
Anna Maria CORAZZA BILDT,24
Peter ERIKSSON,24
Fredrick FEDERLEY,24
Christofer FJELLNER,24
Jytte GUTELAND,24
Anna HEDH,24
Gunnar HÖKMARK,24
Isabella LÖVIN,24
Olle LUDVIGSSON,24
Peter LUNDGREN,24
Jens NILSSON,24
Marit PAULSEN,24
Soraya POST,24
Marita ULVSKOG,24
Cecilia WIKSTRÖM,24
Kristina WINBERG,24
Clara Eugenia AGUILERA GARCÍA,23
Marina ALBIOL GUZMÁN,23
Miguel ARIAS CAÑETE,23
Inés AYALA SENDER,23
Pilar AYUSO,23
Beatriz BECERRA BASTERRECHEA,23
Izaskun BILBAO BARANDICA,23
José BLANCO LÓPEZ,23
Soledad CABEZÓN RUIZ,23
Pilar del CASTILLO VERA,23
Javier COUSO PERMUY,23
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,23
Pablo ECHENIQUE,23
Rosa ESTARÀS FERRAGUT,23
Jonás FERNÁNDEZ,23
Santiago FISAS AYXELÀ,23
Francesc GAMBÚS,23
Iratxe GARCÍA PÉREZ,23
Eider GARDIAZABAL RUBIAL,23
Juan Carlos GIRAUTA VIDAL,23
Tania GONZÁLEZ PEÑAS,23
Esteban GONZÁLEZ PONS,23
Luis de GRANDES PASCUAL,23
Enrique GUERRERO SALOM,23
Sergio GUTIÉRREZ PRIETO,23
Esther HERRANZ GARCÍA,23
Pablo IGLESIAS,23
Ramón JÁUREGUI ATONDO,23
Teresa JIMÉNEZ-BECERRIL BARRIO,23
Iosu JUARISTI ABAUNZ,23
Verónica LOPE FONTAGNÉ,23
Javi LÓPEZ,23
Paloma LÓPEZ,23
Juan Fernando LÓPEZ AGUILAR,23
Antonio LÓPEZ-ISTÚRIZ WHITE,23
Ernest MARAGALL,23
Gabriel MATO,23
Fernando MAURA BARANDIARÁN,23
Francisco José MILLÁN MON,23
Javier NART,23
Maite PAGAZAURTUNDÚA RUIZ,23
Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ,23
Teresa RODRIGUEZ-RUBIO,23
Lola SÁNCHEZ CALDENTEY,23
Jordi SEBASTIÀ,23
Lidia SENRA RODRÍGUEZ,23
Francisco SOSA WAGNER,23
Josep-Maria TERRICABRAS,23
Ramon TREMOSA i BALCELLS,23
Ernest URTASUN,23
Ramón Luis VALCÁRCEL,23
Elena VALENCIANO MARTÍNEZ-OROZCO,23
Ángela VALLINA,23
Pablo ZALBA BIDEGAIN,23
Franc BOGOVIČ,22
Tanja FAJON,22
Alojz PETERLE,22
Igor ŠOLTES,22
Patricija ŠULIN,22
Romana TOMC,22
Ivo VAJGL,22
Milan ZVER,22
Pál CSÁKY,12
Monika FLAŠÍKOVÁ BEŇOVÁ,21
Eduard KUKAN,21
Vladimír MAŇKA,21
Miroslav MIKOLÁŠIK,21
József NAGY,21
Branislav ŠKRIPEK,21
Monika SMOLKOVÁ,21
Ivan ŠTEFANEC,21
Richard SULÍK,21
Anna ZÁBORSKÁ,21
Boris ZALA,21
Jana ŽITŇANSKÁ,21
19,20
Daniel BUDA,20
Cristian-Silviu BUŞOI,20
Corina CREŢU,20
Andi CRISTEA,20
Viorica DĂNCILĂ,20
Mircea DIACONU,20
Damian DRĂGHICI,20
Doru-Claudian FRUNZULICĂ,20
Maria GRAPINI,20
Eduard-Raul HELLVIG,20
Cătălin Sorin IVAN,20
Monica Luisa MACOVEI,20
Ramona Nicole MĂNESCU,20
Marian-Jean MARINESCU,20
Ionel-Sorin MOISĂ,20
Siegfried MUREŞAN,20
Victor NEGRESCU,20
Dan NICA,20
Norica NICOLAI,20
Ioan Mircea PAŞCU,20
Cristian Dan PREDA,20
Laurențiu REBEGA,20
Daciana Octavia SÂRBU,20
Csaba SÓGOR,20
Theodor Dumitru STOLOJAN,20
Claudiu Ciprian TĂNĂSESCU,20
Claudia TAPARDEL,20
Traian UNGUREANU,20
Adina-Ioana VĂLEAN,20
Renate WEBER,20
Iuliu WINKLER,20
Francisco ASSIS,19
Carlos COELHO,19
José Inácio FARIA,19
José Manuel FERNANDES,19
Elisa FERREIRA,19
João FERREIRA,19
Ana GOMES,19
António MARINHO E PINTO,19
Marisa MATIAS,19
Nuno MELO,19
Cláudia MONTEIRO DE AGUIAR,19
Paulo RANGEL,19
Sofia RIBEIRO,19
Liliana RODRIGUES,19
Maria João RODRIGUES,19
Fernando RUAS,19
Ricardo SERRÃO SANTOS,19
Pedro SILVA PEREIRA,19
Miguel VIEGAS,19
Carlos ZORRINHO,19
Inês Cristina ZUBER,19
Michał BONI,18
Jerzy BUZEK,18
Ryszard CZARNECKI,18
Andrzej DUDA,18
Anna Elżbieta FOTYGA,18
Lidia Joanna GERINGER de OEDENBERG,18
Adam GIEREK,18
Beata Barbara GOSIEWSKA,18
Marek Józef GRÓBARCZYK,18
Andrzej GRZYB,18
Krzysztof HETMAN,18
Danuta Maria HÜBNER,18
Robert Jarosław IWASZKIEWICZ,18
Dawid Bohdan JACKIEWICZ,18
Danuta JAZŁOWIECKA,18
Marek JUREK,18
Jarosław KALINOWSKI,18
Karol KARSKI,18
Janusz KORWIN-MIKKE,18
Agnieszka KOZŁOWSKA-RAJEWICZ,18
Zdzisław KRASNODĘBSKI,18
Barbara KUDRYCKA,18
Zbigniew KUŹMIUK,18
Ryszard Antoni LEGUTKO,18
Janusz LEWANDOWSKI,18
Bogusław LIBERADZKI,18
Elżbieta Katarzyna ŁUKACIJEWSKA,18
Krystyna ŁYBACKA,18
Michał MARUSIK,18
Jan Marian OLBRYCHT,18
Stanisław OŻÓG,18
Bolesław G. PIECHA,18
Mirosław PIOTROWSKI,18
Julia PITERA,18
Marek PLURA,18
Tomasz Piotr PORĘBA,18
Dariusz ROSATI,18
