right_left,twitter_handle,born,total_screen_name_replies,GDP_per_capita_PPS_2013,total_retweets,WEF_Global_IT_score_2014,Press_freedom_2014,twitter_birthday,total_status_id_replies,native_lang,european_party,days_served,Median_age_2014,nationality,share_2009-share_2014,total_tweets,name,gender,Electoral_system,internal_cohesion_score_2009-2014,total_favorites
1,AdamGierek,1938-04-17 00:00:00,0,67,0,4.24,11.03,2014-05-17,0,pl,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3633,39.5,Poland,2.2,0,Adam GIEREK,male,1,8.5,0
0,adamkosamep,1975-07-01 00:00:00,0,66,24,4.32,26.73,2009-10-25,0,hu,Group of the European People's Party (Christian Democrats),1813,41.1,Hungary,2.16,32,Ádám KÓSA,male,0,7.5,2
0,szejnfeld,1958-11-13 00:00:00,157,67,153,4.24,11.03,2012-03-24,156,pl,Group of the European People's Party (Christian Democrats),0,39.5,Poland,14.71,1035,Adam SZEJNFELD,male,1,7.5,644
0,adinavalean,1968-02-16 00:00:00,1,55,10,3.95,23.48,2009-05-23,1,ro,Group of the European People's Party (Christian Democrats),2738,39.8,Romania,-3.6,43,Adina-Ioana VĂLEAN,female,0,7.5,3
1,akhanmep,1958-04-05 00:00:00,32,109,219,5.54,19.93,2010-10-14,18,en,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,40.4,United Kingdom,-9.34,471,Afzal KHAN,male,0,8.5,685
1,a_jongerius,1960-11-04 00:00:00,208,131,128,5.79,6.46,2014-02-21,206,nl,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,42.1,Netherlands,0.46,526,Agnes JONGERIUS,female,1,8.5,140
0,AKRajewicz,1969-12-04 00:00:00,20,67,78,4.24,11.03,2014-02-26,13,pl,Group of the European People's Party (Christian Democrats),0,39.5,Poland,14.71,257,Agnieszka KOZŁOWSKA-RAJEWICZ,female,1,7.5,113
0,,1947-09-27 00:00:00,0,94,0,4.69,20.63,,0,es,Group of the European People's Party (Christian Democrats),3633,41.6,Spain,16.37,0,Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,male,0,7.5,0
0,AlainCadec,1953-06-21 00:00:00,11,107,21,5.09,21.89,2012-01-18,11,fr,Group of the European People's Party (Christian Democrats),1813,40.9,France,9.08,71,Alain CADEC,male,0,7.5,114
0,ALamassoure,1944-02-10 00:00:00,0,107,6,5.09,21.89,2014-04-05,0,fr,Group of the European People's Party (Christian Democrats),6804,40.9,France,9.08,19,Alain LAMASSOURE,male,0,7.5,42
0,Albert_Dess_MEP,1947-04-17 00:00:00,1,122,10,5.5,10.23,2014-01-14,0,de,Group of the European People's Party (Christian Democrats),3633,46.1,Germany,2.87,16,Albert DESS,male,0,7.5,0
0,Alberto_Cirio,1972-12-06 00:00:00,0,99,24,4.18,23.75,2012-03-21,0,it,Group of the European People's Party (Christian Democrats),0,44.5,Italy,22.47,76,Alberto CIRIO,male,1,7.5,77
0,PatricielloAldo,1957-09-27 00:00:00,19,99,22,4.18,23.75,2012-01-04,15,it,Group of the European People's Party (Christian Democrats),2976,44.5,Italy,22.47,200,Aldo PATRICIELLO,male,1,7.5,114
