full_name,right_left
Adam GIEREK,1
Ádám KÓSA,0
Adam SZEJNFELD,0
Adina-Ioana VĂLEAN,0
Afzal KHAN,1
Agnes JONGERIUS,1
Agnieszka KOZŁOWSKA-RAJEWICZ,0
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,0
Alain CADEC,0
Alain LAMASSOURE,0
Albert DESS,0
Alberto CIRIO,0
Aldo PATRICIELLO,0
Alessandra MORETTI,1
Alessandra MUSSOLINI,0
Alessia Maria MOSCA,1
Alexander Graf LAMBSDORFF,1
Alfred SANT,1
Algirdas SAUDARGAS,0
Alojz PETERLE,0
Alyn SMITH,1
Amjad BASHIR,0
Ana GOMES,1
Anders Primdahl VISTISEN,0
Andi CRISTEA,1
Andor DELI,0
András GYÜRK,0
Andrea BOCSKOR,0
Andrea COZZOLINO,1
Andreas SCHWAB,0
Andrej PLENKOVIĆ,0
Andrejs MAMIKINS,1
Andrew LEWER,0
Andrey KOVATCHEV,0
Andrus ANSIP,1
Andrzej DUDA,0
Andrzej GRZYB,0
Angel DZHAMBAZKI,0
Ángela VALLINA,1
Angelika MLINAR,1
Angelika NIEBLER,0
Angélique DELAHAYE,0
Anja HAZEKAMP,1
Anna Elżbieta FOTYGA,0
Anna HEDH,1
Anna Maria CORAZZA BILDT,0
Anna ZÁBORSKÁ,0
Anne SANDER,0
Anne-Marie MINEUR,1
Anneli JÄÄTTEENMÄKI,1
Anneliese DODDS,1
Annemie NEYTS-UYTTEBROECK,1
Annie SCHREIJER-PIERIK,0
Antanas GUOGA,1
Anthea McINTYRE,0
Antonio LÓPEZ-ISTÚRIZ WHITE,0
António MARINHO E PINTO,1
Antonio TAJANI,0
Arnaud DANJEAN,0
Arne GERICKE,0
Arne LIETZ,1
Artis PABRIKS,0
Ashley FOX,0
Axel VOSS,0
Aymeric CHAUPRADE,0
Barbara KAPPEL,0
Barbara KUDRYCKA,0
Barbara LOCHBIHLER,1
Barbara MATERA,0
Barbara SPINELLI,1
Bart STAES,1
Bas BELDER,0
Bas EICKHOUT,1
Beata Barbara GOSIEWSKA,0
Beatrix von STORCH,0
Beatriz BECERRA BASTERRECHEA,1
Béla KOVÁCS,0
Bendt BENDTSEN,0
Benedek JÁVOR,1
Bernard MONOT,0
Bernd KÖLMEL,0
Bernd LANGE,1
Bernd LUCKE,0
Biljana BORZAN,1
Bill ETHERIDGE,0
Birgit COLLIN-LANGEN,0
Birgit SIPPEL,1
Bodil CEBALLOS,1
Bogdan Andrzej ZDROJEWSKI,0
Bogdan Brunon WENTA,0
Bogusław LIBERADZKI,1
Bolesław G. PIECHA,0
Boris ZALA,1
Brando BENIFEI,1
Branislav ŠKRIPEK,0
Brian CROWLEY,0
Brian HAYES,0
Brice HORTEFEUX,0
Bronis ROPĖ,1
Bruno GOLLNISCH,0
Burkhard BALZ,0
Carlos COELHO,0
Carlos ZORRINHO,1
Cătălin Sorin IVAN,1
Caterina CHINNICI,1
Catherine BEARDER,1
Catherine STIHLER,1
Cecilia WIKSTRÖM,1
Charles GOERENS,1
Charles TANNOCK,0
Christel SCHALDEMOSE,1
Christian EHLER,0
Christine REVAULT D'ALLONNES BONNEFOY,1
Christofer FJELLNER,0
Christos STYLIANIDES,0
Clara Eugenia AGUILERA GARCÍA,1
Clare MOODY,1
Claude MORAES,1
Claude ROLIN,0
Claude TURMES,1
Cláudia MONTEIRO DE AGUIAR,0
Claudia SCHMIDT,0
Claudia TAPARDEL,1
Claudiu Ciprian TĂNĂSESCU,1
Constance LE GRIP,0
Constanze KREHL,1
Cora van NIEUWENHUIZEN,1
Corina CREŢU,1
Cornelia ERNST,1
Costas MAVRIDES,1
Cristian Dan PREDA,0
Cristian-Silviu BUŞOI,0
Csaba MOLNÁR,1
Csaba SÓGOR,0
Curzio MALTESE,1
Czesław Adam SIEKIERSKI,0
Daciana Octavia SÂRBU,1
Damian DRĂGHICI,1
Dan NICA,1
Daniel BUDA,0
Daniel CASPARY,0
Daniel HANNAN,0
Daniela AIUTO,0
Daniele VIOTTI,1
Danuta JAZŁOWIECKA,0
Danuta Maria HÜBNER,0
Dario TAMBURRANO,0
Dariusz ROSATI,0
David BORRELLI,0
David CAMPBELL BANNERMAN,0
David CASA,0
David COBURN,0
David MARTIN,1
David McALLISTER,0
David-Maria SASSOLI,1
Davor Ivo STIER,0
Davor ŠKRLEC,1
Dawid Bohdan JACKIEWICZ,0
Deirdre CLUNE,0
Demetris PAPADAKIS,1
Dennis de JONG,1
Derek VAUGHAN,1
Diane DODDS,0
Diane JAMES,0
Dieter-Lebrecht KOCH,0
Dietmar KÖSTER,1
Dimitrios PAPADIMOULIS,1
Dita CHARANZOVÁ,1
Dominique BILDE,0
Dominique MARTIN,0
Dominique RIQUET,1
Doru-Claudian FRUNZULICĂ,1
Dubravka ŠUICA,0
Edouard FERRAND,0
Edouard MARTIN,1
Eduard KUKAN,0
Eduard-Raul HELLVIG,0
Eider GARDIAZABAL RUBIAL,1
Elena GENTILE,1
Elena VALENCIANO MARTÍNEZ-OROZCO,1
Eleni THEOCHAROUS,0
Eleonora EVI,0
Eleonora FORENZA,1
Eleytherios SYNADINOS,0
Elisa FERREIRA,1
Elisabeth KÖSTINGER,0
Elisabeth MORIN-CHARTIER,0
Elisabetta GARDINI,0
Elissavet VOZEMBERG,0
Elly SCHLEIN,1
Elmar BROK,0
Elżbieta Katarzyna ŁUKACIJEWSKA,0
Emil RADEV,0
Emma McCLARKIN,0
Emmanouil GLEZOS,1
Emmanuel MAUREL,1
Enrico GASBARRA,1
Enrique GUERRERO SALOM,1
Eric ANDRIEU,1
Ernest MARAGALL,1
Ernest URTASUN,1
Esteban GONZÁLEZ PONS,0
Esther de LANGE,0
Esther HERRANZ GARCÍA,0
Eugen FREUND,1
Eva JOLY,1
Eva KAILI,1
Eva PAUNOVA,0
Evelyn REGNER,1
Evelyne GEBHARDT,1
Evžen TOŠENOVSKÝ,0
Fabio DE MASI,1
Fabio Massimo CASTALDO,0
Fernando MAURA BARANDIARÁN,1
Fernando RUAS,0
Filiz HYUSMENOVA,1
Flavio ZANONATO,1
Florian PHILIPPOT,0
Franc BOGOVIČ,0
Francesc GAMBÚS,0
Francisco ASSIS,1
Francisco José MILLÁN MON,0
Francisco SOSA WAGNER,1
Franck PROUST,0
Françoise GROSSETÊTE,0
Frank ENGEL,0
Franz OBERMAYR,0
Frédérique RIES,1
Fredrick FEDERLEY,1
Fulvio MARTUSCIELLO,0
Gabriel MATO,0
Gabriele PREUSS,1
Gabriele ZIMMER,1
Gabrielius LANDSBERGIS,0
Geoffrey VAN ORDEN,0
Georg MAYER,0
Georges BACH,0
