"full_name","2009 share - 2014 share"
"Ulrike LUNACEK",-4.9
"Michel REIMON",-4.9
"Monika VANA",-4.9
"Barbara KAPPEL",-10.46
"Georg MAYER",-10.46
"Franz OBERMAYR",-10.46
"Harald VILIMSKY",-10.46
"Angelika MLINAR",-5.56
"Heinz K. BECKER",7.52
"Othmar KARAS",7.52
"Elisabeth KÖSTINGER",7.52
"Paul RÜBIG",7.52
"Claudia SCHMIDT",7.52
"Eugen FREUND",-4.25
"Karin KADENBACH",-4.25
"Jörg LEICHTFRIED",-4.25
"Evelyn REGNER",-4.25
"Josef WEIDENHOLZER",-4.25
"Claude ROLIN",-0.22
"Ivo BELET",4.11
"Marianne THYSSEN",4.11
"Pascal ARIMONT",-0.22
"Philippe LAMBERTS",4.33
"Bart STAES",-0.22
"Gérard DEPREZ",-5.19
"Louis MICHEL",-5.19
"Frédérique RIES",-5.19
"Mark DEMESMAEKER",-14.5
"Louis IDE",-14.5
"Helga STEVENS",-14.5
"Johan VAN OVERTVELDT",-14.5
"Philippe DE BACKER",-0.65
"Annemie NEYTS-UYTTEBROECK",-0.65
"Guy VERHOFSTADT",-0.65
"Maria ARENA",-0.65
"Hugues BAYET",-0.65
"Marc TARABELLA",-0.65
"Kathleen VAN BREMPT",4.33
"Gerolf ANNEMANS",4.33
"Nikolay BAREKOV",-5.88
"Iliana IOTOVA",0
"Momchil NEKOV",0
"Georgi PIRINSKI",0
"Sergei STANISHEV",0
"Tomislav DONCHEV",-5.88
"Mariya GABRIEL",-5.88
"Andrey KOVATCHEV",-5.88
"Eva PAUNOVA",-5.88
"Emil RADEV",-5.88
"Vladimir URUTCHEV",-5.88
"Svetoslav Hristov MALINOV",-5.88
"Nedzhmi ALI",-5.88
"Filiz HYUSMENOVA",-5.88
"Ilhan KYUCHYUK",-5.88
"Iskra MIHAYLOVA",-5.88
"Angel DZHAMBAZKI",-5.88
"Ivana MALETIĆ",13.64
"Andrej PLENKOVIĆ",13.64
"Davor Ivo STIER",13.64
"Dubravka ŠUICA",13.64
"Jozo RADOŠ",-9.09
"Marijana PETIR",-9.09
"Ruža TOMAŠIĆ",-9.09
"Ivan JAKOVČIĆ",-9.09
"Davor ŠKRLEC",-9.09
"Biljana BORZAN",23.48
"Tonino PICULA",23.48
"Costas MAVRIDES",0
"Christos STYLIANIDES",0
"Eleni THEOCHAROUS",0
"Demetris PAPADAKIS",0
"Takis HADJIGEORGIOU",0
"Neoklis SYLIKIOTIS",0
"Dita CHARANZOVÁ",-4.76
"Martina DLABAJOVÁ",-4.76
"Petr JEŽEK",-4.76
"Pavel TELIČKA",-4.76
"Jan KELLER",12.77
"Pavel POC",12.77
"Miroslav POCHE",12.77
"Olga SEHNALOVÁ",12.77
