Name,days_served
ADAKTUSSON Lars,0
ADINOLFI Isabella,0
AFFRONTE Marco,0
AGEA Laura,0
AGNEW John Stuart,1813
AGUILERA GARCÍA Clara Eugenia,0
AIUTO Daniela,0
AKER Tim,0
ALBIOL GUZMÁN Marina,0
ALBRECHT Jan Philipp,1813
ALI Nedzhmi,155
ALIOT Louis,0
ALLIOT-MARIE Michèle,1344
ANDERSON Lucy,0
ANDERSON Martina,749
ANDERSSON Max,0
ANDRIEU Eric,776
ANDROULAKIS Nikos,0
ANNEMANS Gerolf,0
ANSIP Andrus,0
ARENA Maria,0
ARIAS CAÑETE Miguel,4947
ARIMONT Pascal,0
ARNAUTU Marie-Christine,0
ARNOTT Jonathan,0
ARTHUIS Jean,0
ASHWORTH Richard,3633
ASSIS Francisco,1819
ATKINSON Janice,0
AUKEN Margrete,3633
AUŠTREVIČIUS Petras,0
AYALA SENDER Inés,3633
AYUSO Pilar,5460
van BAALEN Johannes Cornelis,1813
BACH Georges,1813
BALAS Guillaume,0
BALČYTIS Zigmantas,1813
BALCZÓ Zoltán,303
BALZ Burkhard,1813
BAREKOV Nikolay,0
BASHIR Amjad,0
BATTEN Gerard,3633
BAY Nicolas,0
BAYET Hugues,0
BEARDER Catherine,1813
BECERRA BASTERRECHEA Beatriz,0
BECKER Heinz K.,1187
BEGHIN Tiziana,0
BELDER Bas,5460
BELET Ivo,3633
BENDTSEN Bendt,1813
BENIFEI Brando,0
BERÈS Pervenche,7287
BERGERON Joëlle,0
BETTINI Goffredo Maria,0
BILBAO BARANDICA Izaskun,1813
BILDE Dominique,0
BIZZOTTO Mara,1813
BJÖRK Malin,0
BLANCO LÓPEZ José,0
BLINKEVIČIŪTĖ Vilija,1813
BOCSKOR Andrea,0
BÖGE Reimer,9107
BOGOVIČ Franc,0
BONAFÈ Simona,0
BONI Michał,0
BORGHEZIO Mario,4765
BORRELLI David,0
BORZAN Biljana,365
BOŞTINARU Victor,2395
BOURS Louise,0
BOUTONNET Marie-Christine,0
BOVÉ José,1813
BOYLAN Lynn,0
BRADBOURN Philip,5460
BRANNEN Paul,0
BRESSO Mercedes,308
BRIANO Renata,0
BRIOIS Steeve,0
BROK Elmar,12432
BUCHNER Klaus,0
BUDA Daniel,0
BULLMANN Udo,5460
BUONANNO Gianluca,0
BUŞOI Cristian-Silviu,2256
BÜTIKOFER Reinhard,1813
BUZEK Jerzy,3633
CABEZÓN RUIZ Soledad,0
CADEC Alain,1813
van de CAMP Wim,1813
CAMPBELL BANNERMAN David,1813
CAPUTO Nicola,0
CARTHY Matt,0
CARVER James,0
CASA David,3633
CASPARY Daniel,3633
CASTALDO Fabio Massimo,0
del CASTILLO VERA Pilar,3633
CAVADA Jean-Marie,3633
CEBALLOS Bodil,0
CESA Lorenzo,646
CHARANZOVÁ Dita,0
CHAUPRADE Aymeric,0
CHILDERS Nessa,1813
CHINNICI Caterina,0
CHRISTENSEN Ole,3633
CHRYSOGONOS Kostas,0
CICU Salvatore,0
CIRIO Alberto,0
CLUNE Deirdre,0
COBURN David,0
COELHO Carlos,5956
COFFERATI Sergio Gaetano,1813
COLLIN-LANGEN Birgit,836
COLLINS Jane,0
COMI Lara,1813
COMODINI CACHIA Therese,0
CORAZZA BILDT Anna Maria,1813
CORBETT Richard,4585
CORRAO Ignazio,0
COSTA Silvia,1813
COZZOLINO Andrea,1813
CRAMER Michael,3633
CREŢU Corina,2738
CRISTEA Andi,0
CROWLEY Brian,7287
CSÁKY Pál,0
CZARNECKI Ryszard,3633
van DALEN Peter,1813
DALLI Miriam,0
D'AMATO Rosa,0
DANCE Seb,0
DĂNCILĂ Viorica,1987
DANJEAN Arnaud,1813
DANTIN Michel,1811
DANTI Nicola,0
(The Earl of) DARTMOUTH William,1813
DATI Rachida,1813
DE BACKER Philippe,1028
DE CASTRO Paolo,1813
de GRAAFF Marcel,0
DELAHAYE Angélique,0
DELI Andor,0
DELLI Karima,1813
DELVAUX Mady,0
DE MASI Fabio,0
DEMESMAEKER Mark,515
DE MONTE Isabella,0
DENANOT Jean-Paul,280
DEPREZ Gérard,9120
de SARNEZ Marielle,5460
DESS Albert,3633
DEUTSCH Tamás,1813
DEVA Nirj,5460
DIACONU Mircea,0
DÍAZ DE MERA GARCÍA CONSUEGRA Agustín,3633
