case_number,api_result,lang_confirmed,isReliable,confidence,lang,text,id
1,1,en,0,0.01,en,Done,544798ba9c99ea6d4c252d90
2,0,Uncodable,NULL,NULL,NULL,,54612d959c99ea193d5e66ab
3,1,nl,0,0.01,nl,"Haha, ga ik doen!",548994d69c99ea60368f9cea
4,0,nl,,0.01,en,benieuwd naar je column. We keep in touch!,548994d69c99ea60368f9ceb
5,1,da,,0.01,da,Så har vi rundet en halv million underskrifter mod ! Har du skrevet under?,5433cf3f9c99ea55994a9a51
6,1,da,,0.01,da,: Glemte duuuu ....? Så kan du høre åP1 som stream og podcast. Det handler om at du ikke kan stole på din huk…,5433cf3f9c99ea55994a9a56
7,0,Uncodable,NULL,NULL,NULL,,5435b28a9c99ea2c34500a36
8,0,da,0,0.01,fy,: Knivskarp i her til morgen. 's hykleri om klimakommissionen blev udstillet. …,544789749c99ea6d4c2522be
9,0,da,,0.01,en,Se velkomst til i Information i dag.,546119279c99ea193d5e0e10
10,0,fi,,0.01,en,Se min kommentar til 's historie her:,547464169c99ea3595c36682
11,1,da,,0.01,da,"I kan se 10 års bil. på mit kontor. Men tid og ressourcer skal gå til politik, ikke lefleri for EB",547464169c99ea3595c36683
12,0,Uncodable,NULL,NULL,NULL,": . 1
0",547464179c99ea3595c36698
13,0,Uncodable,0,0.01,crs,Mon dog...,547464189c99ea3595c366ae
14,1,da,,0.01,da,: stark kritik i kammaren,547464199c99ea3595c366ce
15,1,da,,0.01,da,": Ja, hvad er det vi venter på. Interessant at SF er så klare",54818e8a9c99ea2f7a417d9b
16,0,da,,0.01,kl,: SFs folketingsgruppe er klar! Anerkend Palæstina nu.,54818e8c9c99ea2f7a417db8
17,1,da,,0.01,da,Oceanerne er fulde af plastik. Imens presser industrien EU-KOM til at droppe mål om plastikgenindvinding,5490334a9c99ea76fdad1bd1
18,0,Uncodable,NULL,NULL,NULL,,5490334b9c99ea76fdad1bd9
19,0,it,0,0.01,la,: sala strapiena,546119629c99ea193d5e115e
20,0,Uncodable,NULL,NULL,NULL,?,5474644b9c99ea3595c369fe
21,0,it,0,0.01,mt,2 per mille ai partiti: è flop!!!,548984539c99ea60368f8348
22,1,nl,,0.01,nl,EPhearings2014 : kandidaat-Commissaris Canete (energie) krijgt groen licht van energie- en milieu-commissies; Bratusek (vice-vz) weggestemd,5435b2979c99ea2c34500aba
23,1,en,,0.01,en,: Team sheet !,543950d89c99ea58444a2d5d
24,1,nl,,0.01,nl,"Sven De Leijer in Dag: grappig, maar vooral ook rake politieke analyse",543ac5139c99ea1d6dee16ea
25,1,nl,,0.01,nl,Dat verhaal van in : hemeltergend. Quid reactie ? Quid Jo Cornu?,54459ec89c99ea0918b746ab
26,0,nl,,0.01,da,om 16.30u op Radio1 :),5474644d9c99ea3595c36a25
27,0,Uncodable,NULL,NULL,NULL,,54818ec49c99ea2f7a4180f1
28,0,Uncodable,NULL,NULL,NULL,:,5484a0d09c99ea41222181e1
29,0,nl,0,0.01,en,Politico' neemt European Voice over en wil na Washington ook Brussel mediagewijs veroveren,548984559c99ea60368f835b
30,0,it,,0.01,war,: 7 Novembre BHR Treviso con,5446da919c99ea1eb3eaef64
31,1,it,,0.01,it,La Mussolini non e' presente nemmeno quando deve intervenire :-),5446da919c99ea1eb3eaef66
32,0,it,,0.01,en,hahaha ho l'Ipad con il t9 in Inglese :-))))),5446da919c99ea1eb3eaef67
33,1,it,,0.01,it,:-) Dietro Juncker la delegazione del Genio Guastatori del Movimento 5 Stelle Europa di cui mi onoro di far parte:,5448d2f69c99ea7dc19a6386
34,0,it,,0.01,en,"Incontro con i portavoce:
alla Camera: Di Maio e Fico
David Borrelli al Parlamento Europeo",5461198f9c99ea193d5e140a
35,0,it,,0.01,rm,Felici e multati. Altri 40 milioni di euro di multa dalla UE.,54818ee79c99ea2f7a41831d
36,0,fr,,0.01,en,J'assiste aux finales de l'Open Juniors d'escrime.,5433cfa69c99ea55994aa003
37,0,fr,,0.01,en,Réponse de Christopher Szczurek à David Noël,543fa01c9c99ea58dead9f08
38,0,fr,,0.01,en,Communiqué de presse de Christopher Szczurek suite à la venue à Hénin-Beaumont de Benoit Hamon,546119ac9c99ea193d5e1593
39,1,fr,,0.01,fr,: Quand le socialiste Benoît Hamon dit du bien du FN Steeve Briois !,546119ac9c99ea193d5e1594
40,0,fr,,0.01,en,Marine Le Pen invitée de France 5,547464929c99ea3595c36e96
